#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x

wilderness_government;Wilderness;Terres Sauvages;;;;x
wilderness_government_desc;The wilderness has no government.;Terres Sauvages;;;;x
tribes_of_haradrim;Haradrim Tribes;;;;x
tribes_of_haradrim_desc;The Haradrim or the Southrons were the proud and warlike people of the Harad, in the south of Middle-earth. Ancient enemies of Gondor.;;;;x

#dunedain_feudalism_government;Dunedain Feudalism;Féodalisme Numénoréene;;;;x
#dunedain_feudalism_government_desc;Dunedain Feudalism;Féodalisme Numénoréene;;;;x
#dunedain_stewardship_government;Dunedain Stewardship;Intendance Numénoréene;;;;x
#dunedain_stewardship_government_desc;Dunedain Stewardship;Intendance Numénoréene;;;;x
#nazgul_tyranny_government;Nazgûl Tyranny;Tyrannie Nazgûl;;;;x
#dark_dominion_government;Dominion of Darkness;Domination des Ténèbres;;;;x
#orkish_despotism_government;Orkish Despotism;Despotisme Ork;;;;x
#orc_thraldom_government;Orc Thraldom;Servitude Ork;;;;x
#uruk_despotism_government;Uruk Despotism;Despotisme Uruk;;;;x
#uruk_thraldom_government;Uruk Thraldom;Servitude Uruk;;;;x
#nurning_monarchy_government;Nurning Monarchy;Monarchie Nurning;;;;x
#nurning_slavery_government;Nurning Slavery;Servitude Nurning;;;;x
#southron_despotism_government;Southron Despotism;Despotisme Southron;;;;x
#easterling_despotism_government;Easterling Despotism;Despotisme Easterling;;;;x
#southron_despotism_government;Southron Despotism;Despotisme Southron;;;;x
#numenorean_autocracy_government;Numenorean Autocracy;Autocratie Numénoréene;;;;x
